Dose_mg,Dose_route,Schedule,Baseline_target,t_days,measurement
868.511373751352,IV,Q3W,3000.0,168.0,19.154400860360813
1124.6578221198197,IV,Q3W,3000.0,168.0,14.625471530723964
1456.3484775012444,IV,Q3W,3000.0,168.0,11.196953803032896
1885.8632787726515,IV,Q3W,3000.0,168.0,8.589342585270357
2442.05309454865,IV,Q3W,3000.0,168.0,6.599148296406391
3162.2776601683795,IV,Q3W,3000.0,168.0,5.0761008610687295
0.01,IV,Q3W,5000.0,168.0,4999.973915985024
0.012949258422052624,IV,Q3W,5000.0,168.0,4999.966222246139
0.016768329368110083,IV,Q3W,5000.0,168.0,4999.956259042442
0.021713743029375187,IV,Q3W,5000.0,168.0,4999.943356108395
0.028117686979742307,IV,Q3W,5000.0,168.0,4999.926646468516
0.03641031949310673,IV,Q3W,5000.0,168.0,4999.9050056531405
0.04714866363457394,IV,Q3W,5000.0,168.0,4999.876976478698
0.061054022965853265,IV,Q3W,5000.0,168.0,4999.840673372318
0.07906043210907701,IV,Q3W,5000.0,168.0,4999.7936464525565
0.10237739663395848,IV,Q3W,5000.0,168.0,4999.732725841148
0.13257113655901087,IV,Q3W,5000.0,168.0,4999.653406127294
0.17166979066078603,IV,Q3W,5000.0,168.0,4999.551422300837
0.22229964825261944,IV,Q3W,5000.0,168.0,4999.418844217009
0.2878615592354568,IV,Q3W,5000.0,168.0,4999.247163312245
0.372759372031494,IV,Q3W,5000.0,168.0,4999.023097409686
0.4826957437677871,IV,Q3W,5000.0,168.0,4998.733706024359
0.6250551925273973,IV,Q3W,5000.0,168.0,4998.357257289409
0.8094001216083124,IV,Q3W,5000.0,168.0,4997.867543074967
1.0481131341546852,IV,Q3W,5000.0,168.0,4997.230549895622
1.3572287829716538,IV,Q3W,5000.0,168.0,4996.398176466761
1.7575106248547911,IV,Q3W,5000.0,168.0,4995.312446447824
2.2758459260747887,IV,Q3W,5000.0,168.0,4993.892038788842
2.9470517025518097,IV,Q3W,5000.0,168.0,4992.030243408791
3.816213407949357,IV,Q3W,5000.0,168.0,4989.583221830743
4.941713361323833,IV,Q3W,5000.0,168.0,4986.354816801432
6.399152336349267,IV,Q3W,5000.0,168.0,4982.103710988815
8.286427728546842,IV,Q3W,5000.0,168.0,4976.461865373032
10.730309405261565,IV,Q3W,5000.0,168.0,4968.960202416901
13.894954943731374,IV,Q3W,5000.0,168.0,4958.920323948842
17.992936232915536,IV,Q3W,5000.0,168.0,4945.103363194877
23.29951810515372,IV,Q3W,5000.0,168.0,4920.019930158882
30.171148105292957,IV,Q3W,5000.0,168.0,4815.051486129243
39.06939937054617,IV,Q3W,5000.0,168.0,4295.262889935884
50.59197488435822,IV,Q3W,5000.0,168.0,3039.5185708315344
65.51285568595509,IV,Q3W,5000.0,168.0,1797.2113873777575
84.83428982440716,IV,Q3W,5000.0,168.0,1019.3678101304944
109.85411419875572,IV,Q3W,5000.0,168.0,584.7514021700346
142.25293134853692,IV,Q3W,5000.0,168.0,355.40505529934313
184.20699693267164,IV,Q3W,5000.0,168.0,230.69160197436244
238.53440064314213,IV,Q3W,5000.0,168.0,157.41912098093908
308.88435964774783,IV,Q3W,5000.0,168.0,111.21213205182109
399.9823395608933,IV,Q3W,5000.0,168.0,80.47924887599032
517.9474679231213,IV,Q3W,5000.0,168.0,59.23418732773096
670.7035611184313,IV,Q3W,5000.0,168.0,44.13069013449018
868.511373751352,IV,Q3W,5000.0,168.0,33.17123837040177
1124.6578221198197,IV,Q3W,5000.0,168.0,25.097511530775407
1456.3484775012444,IV,Q3W,5000.0,168.0,19.082188877731664
1885.8632787726515,IV,Q3W,5000.0,168.0,14.561964512629684
2442.05309454865,IV,Q3W,5000.0,168.0,11.143570905058692
3162.2776601683795,IV,Q3W,5000.0,168.0,8.545744909220907
0.01,IV,Q3W,10000.0,168.0,9999.986000739182
0.012949258422052624,IV,Q3W,10000.0,168.0,9999.981875121915
0.016768329368110083,IV,Q3W,10000.0,168.0,9999.976529296082
0.021713743029375187,IV,Q3W,10000.0,168.0,9999.969606939174
0.028117686979742307,IV,Q3W,10000.0,168.0,9999.96064243175
0.03641031949310673,IV,Q3W,10000.0,168.0,9999.949033600858
